intAvailablePlotId,vchPlotNo,tinPlotStatus,tinAssignStatus,decPlotArea,decFrontage,tintCornerPlot,dtmCreatedOn,stmUpdatedOn,intCreatedBy,intUpdatedBy,bitDeletedFlag,intObjectId,intLandCategory,decAreaHecta,intProfileId,intSectorId,tinSubPlotStatus,intLandAppId,intPhaseId,vchNorthPlot,vchSouthPlot,vchWestPlot,vchSectorNo,vchEastPlot,vchNeighbourPlot
2,3,1,1,8455.52,30.00,1,"2016-11-25 00:00:00","2017-08-23 20:53:31",1,1,0,0,4,0.00,237,1,0,629,1,"Plot 2, Sector 1","30 m Road","30 m road",1,"Open Space",NULL
8,2,1,1,1175.59,15.00,0,"2016-11-25 00:00:01","2017-08-23 20:53:52",1,1,0,0,4,0.00,2136,3,0,614,1,"Open Space","15 m Road","Plot 1, Sector 5",5,"Plot 3, Sector 5",NULL
9,3,1,1,1114.14,15.00,0,"2016-11-25 00:00:01","2018-02-01 15:22:29",1,1,0,0,4,0.00,2335,3,0,785,1,"Open Space","15 m Road","Plot 2, Sector 5",5,"Plot 4, Sector 5",NULL
10,4,1,1,1052.70,15.00,0,"2016-11-25 00:00:02","2018-09-12 16:29:06",1,1,0,0,4,0.00,2782,3,0,872,5,"Open Space","15 m Road","Plot 3, Sector 5",5,"Plot 5, Sector 5",NULL
11,5,1,1,2155.73,15.00,0,"2016-11-25 00:00:02","2018-06-12 12:30:01",1,1,0,0,4,0.00,500,3,0,910,1,"Open Space","15 m road","Plot 4, Sector 5",5,"Plot 6, Sector 5",NULL
12,6,1,1,3387.26,15.00,0,"2016-11-25 00:00:02","2017-08-23 20:53:52",1,1,0,0,4,0.00,2026,3,0,571,1,"Open Space","15 m Road","Plot 5, Sector 5",5,"Plot 7, Sector 5",NULL
16,10,1,1,2073.85,15.00,0,"2016-11-25 00:00:04","2018-02-01 15:55:14",1,1,0,0,4,0.00,2465,3,0,754,1,"Plot 9, Sector 5","Plot 11, Sector 5","15 m Road",5,"Open Space",NULL
17,11,1,1,1362.28,15.00,0,"2016-11-25 00:00:04","2017-08-23 20:53:52",1,1,0,0,4,0.00,1388,3,0,369,1,"Plot 10, Sector 5","Plot 12, Sector 5","15 m road",5,"Open Space",NULL
18,12,1,1,1014.05,15.00,0,"2016-11-25 00:00:04","2017-08-23 20:53:52",1,1,0,0,4,0.00,1252,3,0,502,1,"Plot 11, Sector 5","Plot 13, Sector 5","15 m road",5,"Open Space",NULL
19,13,1,1,1040.59,15.00,0,"2016-11-25 00:00:05","2017-08-23 20:53:52",1,1,0,0,4,0.00,177,3,0,661,1,"Plot 12, Sector 5","Plot 14, Sector 5","15 m road",5,"Open Space",NULL
20,14,1,1,902.12,15.00,0,"2016-11-25 00:00:05","2018-05-07 17:33:10",1,1,0,0,4,0.00,2514,3,0,784,1,"Plot 13, Sector 5","Plot 15, Sector 5","15 m road",5,"Open Space",NULL
21,15,1,1,618.50,15.00,0,"2016-11-25 00:00:05","2017-08-23 20:53:52",1,1,0,0,4,0.00,663,3,0,600,1,"Plot 14, Sector 5","Plot 16, Sector 5","15 m road",5,"Open Space",NULL
22,16,1,1,618.50,15.00,0,"2016-11-25 00:00:06","2017-08-23 20:53:52",1,1,0,0,4,0.00,1901,3,0,525,1,"Plot 15, Sector 5","Plot 17, Sector 5","15 m road",5,"Open Space",NULL
23,17,1,1,618.50,15.00,0,"2016-11-25 00:00:06","2017-08-23 20:53:52",1,1,0,0,4,0.00,2112,3,0,598,1,"Plot 16, Sector 5","Plot 18, Sector 5","15 m road",5,"Open Space",NULL
24,18,1,1,723.71,15.00,0,"2016-11-25 00:00:06","2017-08-23 20:53:52",1,1,0,0,4,0.00,419,3,0,544,1,"Plot 17, Sector 5","Plot 19, Sector 5","15 m road",5,"Open Space",NULL
25,19,1,1,2156.80,15.00,0,"2016-11-25 00:00:07","2019-01-21 17:04:53",1,1,0,0,4,0.00,2558,3,0,1291,6,"15 m road","Plot 55, Sector 5","Plot 20, Sector 5",5,"Plot 18, Sector 5",NULL
26,20,1,1,1750.00,15.00,0,"2016-11-25 00:00:07","2017-08-23 20:53:52",1,1,0,0,4,0.00,150,3,0,654,1,"15 m road","Plot 54, Sector 5","Plot 21, Sector 5",5,"Plot 19, Sector 5",NULL
27,21,1,1,1750.00,15.00,0,"2016-11-25 00:00:07","2017-08-23 20:53:52",1,1,0,0,4,0.00,2124,3,0,608,1,"15 m road","Plot 54, Sector 5","Plot 22, Sector 5",5,"Plot 20, Sector 5",NULL
28,22,1,1,1885.79,15.00,1,"2016-11-25 00:00:08","2017-08-23 20:53:52",1,1,0,0,4,0.00,1459,3,0,452,1,"15 m road","Plot 54, Sector 5","15 m road",5,"Plot 21, Sector 5",NULL
29,23A,1,1,2268.58,15.00,1,"2016-11-25 00:00:08","2017-08-23 20:53:52",1,1,0,0,4,0.00,35,3,0,14,1,"Plot 23B, Sector 5","15 m Road","15 m Road",5,"Plot 25, Sector 5",NULL
30,24,1,1,6576.03,15.00,0,"2016-11-25 00:00:08","2018-06-12 12:52:18",1,1,0,0,4,0.00,2791,3,0,878,1,"Plot 34, Sector 5:Plot 35, Sector 5:Plot 33, Sector 5","Plot 23b, Sector 5:Plot 25, Sector 5:Plot 26, Sector 5:Plot 27, Sector 5","15 m road",5,"15 m road",NULL
31,25,1,1,2100.00,15.00,0,"2016-11-25 00:00:09","2017-08-23 20:53:52",1,1,0,0,4,0.00,1972,3,0,561,1,"Plot 24, Sector 5","15 m road","Plot 23, Sector 5",5,"Plot 26, Sector 5",NULL
32,26,1,1,2100.00,15.00,0,"2016-11-25 00:00:09","2018-02-01 15:42:45",1,1,0,0,4,0.00,2509,3,0,776,1,"Plot 24, Sector 5","15 m Road","Plot 25, Sector 5",5,"Plot 27, Sector 5",NULL
35,29,1,1,844.57,15.00,0,"2016-11-25 00:00:10","2018-02-01 15:29:50",1,1,0,0,4,0.00,2505,3,0,781,1,"Plot 30, Sector 5","Plot 28, Sector 5","Plot 24, Sector 5",5,"15 m Road",NULL
36,30,1,1,700.00,15.00,0,"2016-11-25 00:00:10","2017-08-23 20:53:52",1,1,0,0,4,0.00,1781,3,0,483,1,"Plot 31, Sector 5","Plot 29, Sector 5","Plot 33, Sector 5",5,"15 m road",NULL
37,31,0,0,700.00,15.00,0,"2016-11-25 00:00:11","2018-12-05 10:50:59",1,1,0,0,4,0.00,0,3,0,0,6,"Plot 32, Sector 5","Plot 30, Sector 5","Plot 33, Sector 5",5,"15 m road",NULL
38,32,1,1,669.12,15.00,1,"2016-11-25 00:00:11","2017-08-23 20:53:52",1,1,0,0,4,0.00,191,3,0,95,1,"15 m road","Plot 31, Sector 5","Plot 33, Sector 5",5,"15 m road",NULL
39,33,1,1,2100.00,15.00,0,"2016-11-25 00:00:11","2017-08-23 20:53:52",1,1,0,0,4,0.00,135,3,0,563,1,"15 m road","Plot 24, Sector 5","Plot 34, Sector 5",5,"Plot 30, Sector 5:Plot 31, Sector 5:Plot 32, Sector 5",NULL
40,34,1,1,2100.00,15.00,0,"2016-11-25 00:00:12","2018-06-12 13:06:03",1,1,0,0,4,0.00,2801,3,0,888,2,"15 m road","Plot 24, Sector 5","Plot 35, Sector 5",5,"Plot 33, Sector 5",NULL
41,35,1,1,2818.45,15.00,1,"2016-11-25 00:00:12","2018-03-15 15:11:47",1,1,0,0,4,0.00,511,3,0,147,1,"15 m road","Plot 24, Sector 5","15 m Road",5,"Plot 34, Sector 5",57
42,36,1,1,3306.25,15.00,1,"2016-11-25 00:00:12","2017-08-23 20:53:52",1,1,0,0,4,0.00,195,3,0,427,1,"15 m road","Plot 40, Sector 5","Plot 37, Sector 5:Plot 38, Sector 5",5,"15 m road",NULL
43,37,1,1,4745.69,30.00,1,"2016-11-25 00:00:13","2018-02-01 15:37:46",1,1,0,0,4,0.00,257,3,0,740,1,"15 m Road","Plot 38, Sector 5","30 m Road",5,"Plot 36, Sector 5",NULL
44,38,1,1,4050.01,30.00,0,"2016-11-25 00:00:13","2018-02-01 15:45:57",1,1,0,0,4,0.00,2477,3,0,764,1,"Plot 37, Sector 5","Plot 41, Sector 5","30 m Road",5,"Plot 36, Sector 5",NULL
45,39,1,1,4050.00,15.00,0,"2016-11-25 00:00:13","2017-08-23 20:53:52",1,1,0,0,4,0.00,195,3,0,457,1,"15 m road","Plot 40, Sector 5","Plot 37, Sector 5:Plot 38, Sector 5",5,"15 m road",NULL
47,41,1,1,4050.00,30.00,0,"2016-11-25 00:00:14","2017-08-23 20:53:52",1,1,0,0,4,0.00,198,3,0,68,1,"Plot 38, Sector 5","Plot 42, Sector 5","30 m road",5,"Plot 40, Sector 5",NULL
48,42,1,1,4050.00,30.00,0,"2016-11-25 00:00:14","2017-08-23 20:53:52",1,1,0,0,4,0.00,474,3,0,646,1,"Plot 41, Sector 5","Plot 45, Sector 5","30 m road",5,"Plot 43, Sector 5",NULL
49,43,1,1,4050.00,15.00,0,"2016-11-25 00:00:15","2018-06-28 19:35:16",1,1,0,0,4,0.00,2805,3,0,912,1,"Plot 40, Sector 5","Plot 44, Sector 5","Plot 42, Sector 5",5,"15 m road",NULL
50,44,0,0,4050.00,15.00,0,"2016-11-25 00:00:15","2018-12-05 10:50:59",1,1,0,0,4,0.00,0,3,0,0,6,"Plot 43, Sector 5","Plot 47, Sector 5","Plot 45, Sector 5",5,"15 m road",NULL
51,18,0,0,14555.00,60.00,1,NULL,"2018-02-01 16:19:33",1,1,0,0,4,0.00,2199,4,0,669,1,"Plot 15, Sector 8","45 m Road","Plot 17, Sector 8:Plot 16, Sector 8",8,"30 m Road",
54,23b,1,1,1278.63,0.00,0,NULL,"2018-04-24 15:14:49",NULL,1,0,NULL,4,NULL,2314,3,0,780,NULL,"Plot 24, Sector 5","Plot 23a, Sector 5","15 m road",5,"Plot 25, Sector 5",NULL
56,20,1,1,1050.28,60.00,0,NULL,"2018-02-01 15:51:35",NULL,1,0,NULL,5,NULL,2471,1,0,759,NULL,"Plot 21, Sector 1","60 m Road","Plot 22, Sector 1",1,"Plot 19, Sector 1",NULL
61,1,1,1,392940.67,60.00,1,"0000-00-00 00:00:00","2018-10-11 10:12:08",1,1,0,0,4,0.00,2616,5,0,818,3,"60 m road","45 m road","30 m road",11,"45 m road",NULL
62,22,1,1,1035.26,60.00,1,NULL,"2018-06-12 11:54:24",NULL,1,0,NULL,5,NULL,2812,1,0,899,NULL,"Plot 21, Sector 1","60 m road","Plot 20, Sector 1",1,"15 m road",NULL
68,81,1,1,485.25,15.00,1,NULL,"2018-06-12 12:15:28",NULL,1,0,NULL,6,NULL,3947,6,0,1141,NULL,"Plot 83, Sector 10","15 m road","12 m road",10,"Plot 73, Sector 10",NULL
75,85,1,1,392.20,12.00,0,NULL,"2018-06-12 12:10:02",NULL,1,0,NULL,6,NULL,3685,6,0,1125,NULL,"Plot 87, Sector 10","Plot 83, Sector 10","12 m road",10,"Plot 75, Sector 10",NULL
